metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_receiving,1786861855,0.031000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_failed,1786861855,0.000000,,,,true,,POST,login,HTTP/1.1,default,,200,,,login,,
checks,1786861855,1.000000,login: status 200,,,,,,,,default,,,,,,,
checks,1786861855,1.000000,login: token present,,,,,,,,default,,,,,,,
http_reqs,1786861855,1.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_duration,1786861855,3.632000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_blocked,1786861855,0.009000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_connecting,1786861855,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_tls_handshaking,1786861855,0.000000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_sending,1786861855,0.036000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_waiting,1786861855,3.527000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
http_req_receiving,1786861855,0.069000,,,,true,,POST,cart,HTTP/1.1,default,,200,,,cart,,
